"","site","country","PDI","IDV","MAS","UAI","num_u","num_q","num_a","num_tp_c","num_tp_e","perc_a","perc_q","perc_tp_c","perc_tp_e","GNI","Internet","EPI","WVS","resid"
"1","stackoverflow","Austria",11,55,79,70,2518,3.72815081174356,6.94481496762025,11.2031198803772,5.71954486120862,0.631056393963463,0.593328038125496,0.350277998411438,0.149324861000794,48160,79.8,63.21,1.43,-8.95335600616982
"2","stackoverflow","Belgium",65,75,54,94,4275,3.79544606006739,6.54306104304666,11.4395789451129,4.76405725522882,0.608187134502924,0.608888888888889,0.320233918128655,0.146666666666667,44990,78,61.21,1.13,16.3418210836311
"3","stackoverflow","Brazil",69,38,49,76,10717,2.99348023551938,4.21282701522329,7.63516893545966,3.70772709224314,0.482691051600261,0.46580199682747,0.203881683306896,0.0835121769151815,11630,45,49.96,0.81,4.64667417935195
"4","stackoverflow","Chile",63,23,28,86,1075,2.83516142776546,4.35097001867974,7.01431152928966,3.86853814984104,0.483720930232558,0.484651162790698,0.210232558139535,0.0762790697674419,14280,52.3,48.75,0,-11.0378012572628
"5","stackoverflow","China",80,20,66,30,13401,2.60580925106181,3.03929654708088,5.22954310372153,3.05404795578297,0.355719722408775,0.363107230803671,0.107827774046713,0.029773897470338,5680,38.3,50.15,-1.16,-11.0034097793422
"6","stackoverflow","Colombia",67,13,64,80,1224,2.93569798111175,3.728968978132,6.68945365112418,2.95365043696134,0.477941176470588,0.496732026143791,0.17156862745098,0.059640522875817,6990,40.4,48.54,0.6,-18.971316166456
"7","stackoverflow","Czech Republic",57,58,57,74,2701,3.71040607517536,6.37554903484442,10.3789413444997,5.18997689246781,0.574601999259533,0.542391706775268,0.299518696778971,0.117734172528693,18130,73,57.42,0.38,11.4126410524297
"8","stackoverflow","Denmark",18,74,16,23,4029,3.61136583492327,5.80377783980793,9.06353661845764,4.6884095354281,0.556713824770415,0.621245966741127,0.289401836684041,0.115909655001241,59770,90,69.3,1.87,10.5087822675514
"9","stackoverflow","Egypt",70,25,45,80,1965,3.5092635814897,4.51437557890077,6.94172242213591,3.65671851187769,0.443256997455471,0.518575063613232,0.186259541984733,0.0743002544529262,3000,95,42.13,-0.54,-21.3710940772289
"10","stackoverflow","El Salvador",66,19,40,94,133,3.62868067925398,4.43982699243412,17.6657016811166,4.05411507770681,0.473684210526316,0.496240601503759,0.135338345864662,0.0526315789473684,3580,18.9,43.46,0.53,-1.00794550657707
"11","stackoverflow","Estonia",40,60,30,60,621,3.73801743138265,7.52950603704267,14.4030595982123,6.5751385875137,0.595813204508857,0.581320450885668,0.322061191626409,0.14170692431562,15830,76.5,61.39,-1.19,16.8267853971516
"12","stackoverflow","Finland",33,63,26,59,2046,3.29609737909518,6.6189831006666,12.0727772299182,5.34026849665388,0.585043988269795,0.489247311827957,0.314271749755621,0.129521016617791,46940,89.4,64.4,1.12,3.49695303280058
"13","stackoverflow","France",68,71,43,86,11450,3.26165892355147,6.1581623665959,10.412237133292,4.68600471835875,0.591004366812227,0.550305676855895,0.292838427947598,0.131528384279476,41750,79.6,52.69,1.13,14.5975447379843
"14","stackoverflow","Germany",35,67,66,65,18374,3.6575020661587,7.39588321109738,12.9822062226039,5.42758827089094,0.616414498748231,0.597637966692065,0.343583324262545,0.160988353107652,44010,83,60.89,0.44,5.39548658813124
"15","stackoverflow","Guatemala",95,6,37,101,215,2.44757088646077,3.61629358945691,5.67507682421723,3.51621274390177,0.516279069767442,0.446511627906977,0.172093023255814,0.0558139534883721,3140,12.3,45.77,-0.17,-11.1747101742407
"16","stackoverflow","Hong Kong",68,25,57,29,970,3.72501000479021,5.87117132534938,9.63932852367678,6.22938574674887,0.509278350515464,0.541237113402062,0.267010309278351,0.0938144329896907,36560,72.2,52.5,-0.98,-28.7098844764152
"17","stackoverflow","Hungary",46,80,88,82,1842,3.41316432128684,6.61455475067791,10.9950539652764,4.47244111053204,0.560260586319218,0.508686210640608,0.292073832790445,0.11672095548317,12370,70,58.55,-1.22,32.5166230270542
"18","stackoverflow","India",77,48,56,40,70970,3.80973413797235,5.22457856026541,9.33396082163194,5.35018389650052,0.455826405523461,0.581442863181626,0.202296745103565,0.0947442581372411,1530,10.1,53.54,-0.21,29.6286255121371
"19","stackoverflow","Indonesia",78,14,46,48,3585,2.76860260765525,3.28854955666409,6.1175642432516,3.79228630001767,0.321059972105997,0.421478382147838,0.110739191073919,0.0359832635983264,3420,12.3,52.74,-0.8,-4.51476278206383
"20","stackoverflow","Iraq",95,30,70,85,144,2.41635663122916,2.22849551840744,4.12474477940223,2.80970581608967,0.291666666666667,0.430555555555556,0.0625,0.0416666666666667,5870,5,38.02,-1.68,9.71412883554198
"21","stackoverflow","Italy",50,76,70,75,6822,3.6240646892415,5.52449019887971,9.17835509888681,5.37372777816407,0.529170331281149,0.589123424215772,0.255496921723835,0.10583406625623,33840,56.8,52.8,0.6,26.8522082085447
"22","stackoverflow","Japan",54,46,95,92,2692,3.29964226479091,4.71613061381875,10.056809563894,4.24187937569369,0.448736998514116,0.428306092124814,0.192421991084695,0.0861812778603269,47870,79.1,52.88,-0.05,-19.7812136987581
"23","stackoverflow","Latvia",44,70,40,63,673,3.63054650181349,6.89953103138776,10.0146400716603,5.093772726108,0.569093610698366,0.557206537890045,0.320950965824666,0.108469539375929,14200,71.7,59.43,-1.27,27.7512102378782
"24","stackoverflow","Malaysia",104,26,50,36,1554,3.53181486296681,4.51903530422885,8.53209641075429,3.83797781990604,0.405405405405405,0.562419562419562,0.187902187902188,0.0733590733590734,9800,61,59.73,0.09,-12.2038297931904
"25","stackoverflow","Mexico",81,30,69,82,2973,2.85730455104242,4.09712291005668,7.4580316920429,3.29250533699217,0.473595694584595,0.454086781029263,0.182980154725866,0.0639085099226371,9600,35,49.83,1.03,-1.86179813724634
"26","stackoverflow","Morocco",70,25,53,68,547,3.29685803526535,4.65965205101257,10.4353365242683,7.73253449932472,0.444241316270567,0.497257769652651,0.16636197440585,0.0712979890310786,2950,53,42.43,-1.04,-8.14035138026181
"27","stackoverflow","Netherlands",38,80,14,53,9298,3.4509534334467,6.83753931619313,11.8629376474036,5.13631001972415,0.616799311679931,0.595396859539686,0.328027532802753,0.149709614970961,48250,92.3,68.99,1.39,20.6207436999043
"28","stackoverflow","Norway",31,69,8,50,3128,3.77302968007683,6.74443624789985,9.81268958677647,5.03462948933044,0.599744245524297,0.588235294117647,0.341112531969309,0.124680306905371,98860,94,64.33,2.17,-10.4466822378875
"29","stackoverflow","Peru",64,16,42,87,534,3.64573964566485,5.77315438384223,10.6962394332741,7.50435473323055,0.47752808988764,0.468164794007491,0.228464419475655,0.0936329588014981,5880,36,51.46,0.03,-11.0265780800058
"30","stackoverflow","Poland",68,60,64,93,6069,3.55907983216881,6.63792778389667,10.094507179563,4.91759062800005,0.583292140385566,0.567144504860768,0.311253913330038,0.126379963750206,12660,64.9,64.26,-0.14,17.410807543972
"31","stackoverflow","Portugal",63,27,31,104,2851,3.37677750594231,4.86949551930692,7.98036600786754,3.86847729279291,0.525780427920028,0.576289021396001,0.248333917923536,0.106278498772361,20580,57.8,56.83,0.49,-11.8477563984155
"32","stackoverflow","Romania",90,30,42,90,3570,3.83241987500113,6.52066592710514,9.81032212233061,5.40123019074963,0.564145658263305,0.57843137254902,0.289915966386555,0.113445378151261,8150,44,58.63,-1.55,-0.661589389154294
"33","stackoverflow","Russia",93,39,36,95,10701,3.14823571032055,5.33157774285604,8.35687198627119,4.55760256346279,0.517615176151762,0.485842444631343,0.24053826745164,0.0832632464255677,12700,49,50.44,-1.42,5.62859970704751
"34","stackoverflow","Saudi Arabia",95,25,60,80,328,3.54934015613516,4.17257522847838,10.9023525138199,4.88357991701413,0.411585365853659,0.5,0.155487804878049,0.0670731707317073,21210,47.5,39.48,0.15,-14.5490873069092
"35","stackoverflow","Slovakia",104,52,110,51,861,4.0578608415774,6.99805068627341,11.8053704108543,4.9954488213227,0.570267131242741,0.579558652729384,0.315911730545877,0.133565621370499,17180,74.4,55.96,-0.43,-1.91272130054472
"36","stackoverflow","Slovenia",71,27,19,88,692,4.07372210144232,6.80640627996472,11.4613369504021,4.60695612254217,0.61271676300578,0.628612716763006,0.333815028901734,0.111271676300578,22810,69,60.6,0.36,-14.9194533343295
"37","stackoverflow","South Korea",60,18,39,85,1784,2.82904353819922,3.52660837799225,7.89624980337307,4.41767306904929,0.319506726457399,0.40695067264574,0.106502242152466,0.0414798206278027,22670,83.8,53.62,-1.37,-31.6312530543712
"38","stackoverflow","Spain",57,51,42,86,7349,3.14528598792245,5.01851705207199,8.08126846281563,4.76082304777396,0.526330112940536,0.503333786909784,0.234589740100694,0.0928017417335692,30110,67.6,57.18,0.54,3.4907252591893
"39","stackoverflow","Sweden",31,71,5,29,6980,3.68959242936101,6.60394145427117,10.2844584268275,4.64441707531435,0.601289398280802,0.593839541547278,0.334527220630372,0.138968481375358,56210,94,67.8,2.35,9.07564870413041
"40","stackoverflow","Switzerland",34,68,70,58,3623,3.87640423035986,7.49672142931199,12.5537831636995,5.82370146497215,0.635109025669335,0.602815346398013,0.359922715981231,0.168644769528015,82730,85.2,58.29,1.9,-10.4355142998683
