Cod_setor,lider_masculino,lider_feminino,porcentagem_lideres_femininos
130002905000001,97,49,33.56164383561644
130002905000002,121,75,38.265306122448976
130002905000003,116,30,20.54794520547945
130002905000004,16,7,30.434782608695656
130002905000006,82,21,20.388349514563107
130002905000007,4,2,33.33333333333333
130002905000008,9,1,10
130002905000009,28,11,28.205128205128204
130002905000010,19,3,13.636363636363635
130002905000011,73,27,27
130002905000012,81,29,26.36363636363636
130002905000013,73,15,17.045454545454543
130002905000014,25,2,7.4074074074074066
130002905000016,108,7,6.086956521739131
130002905000018,44,2,4.3478260869565215
130002905000019,191,22,10.328638497652582
130002905000020,135,40,22.857142857142858
130002905000021,142,69,32.70142180094787
130002905000022,77,114,59.68586387434554
130002905000023,96,46,32.3943661971831
130002905000024,73,83,53.205128205128204
130002905000025,106,28,20.8955223880597
130002905000026,61,21,25.609756097560975
130006005000001,102,48,32
130006005000002,167,60,26.431718061674008
130006005000003,11,1,8.333333333333332
130006005000004,6,0,0
130006005000006,123,5,3.90625
130006005000007,48,1,2.0408163265306123
130006005000008,7,0,0
130006005000009,13,1,7.142857142857142
130006005000010,87,14,13.861386138613863
130006005000011,143,7,4.666666666666667
130006005000012,9,1,10
130006005000014,0,0,NaN
130006005000015,0,0,NaN
130006005000016,24,0,0
130006005000017,0,0,NaN
130006005000018,10,0,0
130006005000019,92,77,45.562130177514796
130006005000020,161,29,15.263157894736842
130006005000021,159,49,23.557692307692307
130006005000022,37,2,5.128205128205128
130006005000023,46,3,6.122448979591836
130006005000024,10,1,9.090909090909092
130006005000025,6,0,0
130006005000026,7,0,0
130006005000027,12,2,14.285714285714285
130006005000028,16,4,20
130006005000029,20,0,0
130006005000031,18,0,0
130006005000032,8,0,0
130008605000001,132,73,35.609756097560975
130008605000002,163,65,28.50877192982456
130008605000003,253,120,32.171581769437
130008605000004,210,80,27.586206896551722
130008605000005,0,0,NaN
130008605000006,37,16,30.18867924528302
130008605000007,88,36,29.03225806451613
130008605000008,16,0,0
130008605000009,27,10,27.027027027027028
130008605000010,69,54,43.90243902439025
130008605000011,88,14,13.725490196078432
130008605000012,166,27,13.989637305699482
130008605000013,69,10,12.658227848101266
130008605000014,23,2,8
130008605000015,0,0,NaN
130008605000016,19,0,0
130010205000001,133,168,55.81395348837209
130010205000002,207,110,34.70031545741325
130010205000003,169,108,38.98916967509025
130010205000004,242,63,20.655737704918035
130010205000005,141,61,30.198019801980198
130010205000006,211,94,30.81967213114754
130010205000007,140,12,7.894736842105263
130010205000008,95,0,0
130010205000009,174,8,4.395604395604396
130010205000010,76,13,14.606741573033707
130010205000011,56,3,5.084745762711865
130010205000012,75,13,14.772727272727273
130010205000013,27,2,6.896551724137931
130010205000014,42,2,4.545454545454546
130010205000015,68,7,9.333333333333334
130010205000016,17,0,0
130010205000017,148,29,16.38418079096045
130010205000018,86,45,34.35114503816794
130010205000019,97,118,54.88372093023256
130014405000001,138,105,43.20987654320987
130014405000002,167,118,41.40350877192983
130014405000003,199,79,28.41726618705036
130014405000004,171,44,20.46511627906977
130014405000005,214,67,23.843416370106763
130014405000006,301,91,23.214285714285715
130014405000007,150,11,6.832298136645963
130014405000008,216,9,4
130014405000009,86,5,5.4945054945054945
130014405000010,38,8,17.391304347826086
130014405000011,30,2,6.25
130014405000012,44,8,15.384615384615385
130014405000013,45,11,19.642857142857142
130014405000014,22,8,26.666666666666668
130014405000015,101,53,34.41558441558442
130014405000016,156,38,19.587628865979383
130014405000017,59,32,35.16483516483517
130014405000018,94,1,1.0526315789473684
130014405000019,81,83,50.609756097560975
130014405000020,0,0,NaN
130014405000021,23,9,28.125
130014405000023,8,2,20
130014405000026,0,0,NaN
130014405000027,108,7,6.086956521739131
130014405000028,55,3,5.172413793103448
130014405000029,99,2,1.9801980198019802
130014405000030,0,0,NaN
130014405000032,36,3,7.6923076923076925
130014405000033,13,0,0
130014405000034,183,113,38.17567567567568
130014405000035,94,70,42.68292682926829
